Entity,Code,Year,Prevalence
United Arab Emirates,ARE,2024,20.7
United Arab Emirates,ARE,2011,18.8
United Kingdom,GBR,2024,7.4
United Kingdom,GBR,2011,5.2
United States,USA,2024,13.7
United States,USA,2011,9.4
Uruguay,URY,2024,7.8
Uruguay,URY,2011,5.7
Uzbekistan,UZB,2024,7.5
Uzbekistan,UZB,2011,6.4
Vanuatu,VUT,2024,19.7
Vanuatu,VUT,2011,16.1
"Venezuela, RB",VEN,2024,8.6
"Venezuela, RB",VEN,2011,10.2
Viet Nam,VNM,2024,3.4
Viet Nam,VNM,2011,3.2
Virgin Islands (U.S.),VIR,2024,9.1
Virgin Islands (U.S.),VIR,2011,12.1
West Bank and Gaza,PSE,2024,15.5
West Bank and Gaza,PSE,2011,9.2
"Yemen, Rep.",YEM,2024,5.5
"Yemen, Rep.",YEM,2011,9.6
Zambia,ZMB,2024,10.3
Zambia,ZMB,2011,4.8
Zimbabwe,ZWE,2024,1.5
Zimbabwe,ZWE,2011,9.8
